���authors,#formats,#genre,isbn,pubdate,title
Jim Butcher,,Fantasy:Detective,9.78045E+12,2009-03-02T00:00:00-08:00,Small Favor
Jim Butcher,,Fantasy:Detective,9.78045E+12,2007-11-05T00:00:00-08:00,Storm Front
Alex Archer,,Fantasy,9.78037E+12,2010-05-10T21:00:00-07:00,Solomon's Jar
Ray Bradbury,,Science-Fiction,9.78191E+12,2008-07-15T11:10:30-07:00,The Day It Rained Forever
Ray Bradbury,,Science-Fiction,9.78038E+12,1997-06-01T00:00:00-07:00,The Illustrated Man
Jim Butcher,,Fantasy:Detective,9.78045E+12,2009-07-06T00:00:00-07:00,Summer Knight
Alex Archer,,Fantasy,9.78037E+12,2008-11-10T21:00:00-08:00,Swordsman's Legacy
Charlotte Bronte,,classics,9.78191E+12,2010-01-15T00:00:00-08:00,Jane Eyre
Jim Butcher,,Fantasy:Detective,9.78045E+12,2009-04-06T00:00:00-07:00,Turn Coat
Jim Butcher,,Fantasy:Detective,9.78045E+12,2007-04-02T00:00:00-07:00,White Night
Alex Archer,,Fantasy,9.78037E+12,2010-07-14T21:00:00-07:00,The Bone Conjurer
Emily Jane Bronte,,classics,9.78161E+12,1999-08-15T00:00:00-07:00,Wuthering Heights
Bill Byson,,Non-fiction:Humor,380727501,2010-06-13T21:00:00-07:00,Notes From a Small Island
Alex Archer,,Fantasy,9.78037E+12,2010-05-10T21:00:00-07:00,The Chosen
Alex Archer,,Fantasy,9.78037E+12,2008-09-08T21:00:00-07:00,The Golden Elephant
Agatha Christie,,Mystery,9.78067E+12,1992-10-30T23:00:00-08:00,At Bertram's Hotel
Max Brooks,,Contemporary,9.7814E+12,2003-09-16T10:32:15-07:00,The Zombie Survival Guide: Complete Protection From the Living Dead
Max Brooks,,Contemporary,9.78031E+12,2007-10-16T10:19:34-07:00,World War Z: An Oral History of the Zombie War
Joseph Campbell,,Religon,9.78014E+12,1993-02-01T00:00:00-08:00,Myths to Live By
Joseph Campbell & Bill D. Moyers & Betty S. Flowers,,Religon,9.78039E+12,1991-06-01T00:00:00-07:00,The Power of Myth
Agatha Christie,,Mystery,9.78058E+12,1986-09-15T00:00:00-07:00,Best Detective Stories of Agatha Christie
Grimm Brothers,,classics,9.78159E+12,2011-03-17T00:00:00-07:00,Grimm's Fairy Tales
Alex Archer,,Fantasy,9.78037E+12,2010-05-10T21:00:00-07:00,The Lost Scrolls
Agatha Christie & Charles Osborne,,Mystery,9.78031E+12,1999-11-11T00:00:00-08:00,Black Coffee
Agatha Christie,,Mystery,9.78055E+12,1984-10-01T00:58:04-07:00,By the Pricking of My Thumbs
Dan Brown,,Fiction:Thriller,9.78074E+12,2000-07-14T03:00:00-07:00,Angels & Demons
Albert Camus,,Fiction,,1996-07-23T00:00:00-07:00,The Stranger
Alex Archer,,Fantasy,9.78037E+12,2008-05-12T21:00:00-07:00,The Soul Stealer
Agatha Christie,,Mystery,9.78043E+12,1986-02-14T23:56:46-08:00,Cards on the Table
Agatha Christie,,Mystery,9.78067E+12,1989-07-15T00:54:01-07:00,Cat Among the Pigeons
Dan Brown,,Fiction:Thriller,9.78074E+12,2003-09-02T11:49:44-07:00,Deception Point
Truman Capote,,Autobiography,9.78156E+12,2006-10-06T03:00:00-07:00,In Cold Blood
Orson Scott Card,,Science-Fiction,,2009-05-20T03:00:00-07:00,Children of the Mind
Alex Archer,,Fantasy,9.78037E+12,2010-05-10T21:00:00-07:00,The Spider Stone
Alex Archer,,Fantasy,9.78037E+12,2010-01-11T21:00:00-08:00,The Spirit Banner
Agatha Christie,,Mystery,,2004-10-08T11:30:00-07:00,Complete Short Stories of Miss Marple
Agatha Christie,,Mystery,9.78067E+12,1989-09-15T00:57:03-07:00,Crooked House
Dan Brown,AZW3,Fiction:Thriller,9.7814E+12,2006-02-15T00:00:00-08:00,The Da Vinci Code
Alex Archer,,Fantasy,9.78037E+12,2007-11-05T21:00:00-08:00,Warrior Spirit
Agatha Christie,,Mystery,9.78001E+12,1993-07-15T00:54:48-07:00,Curtain: Poirot's Last Case
Agatha Christie,,Mystery,9.78067E+12,1981-04-03T10:49:57-08:00,Death Comes as the End
Agatha Christie,,Mystery,9.78001E+12,2001-06-04T00:53:58-07:00,Death in the Clouds
Agatha Christie,,Mystery,9.78158E+12,2007-02-01T00:00:00-08:00,Death on the Nile: A Hercule Poirot Mystery
Dan Brown,,Fiction:Thriller,9.78039E+12,2009-09-14T03:00:00-07:00,The Lost Symbol
Bill Bryson,AZW3,Science,9.78077E+12,2004-09-14T03:00:00-07:00,A Short History of Nearly Everything
Anthony Burgess,,Fiction,9.7819E+12,2000-02-15T00:00:00-08:00,A Clockwork Orange
Frances Hodgson Burnett,,classics,9.78049E+12,1999-06-10T00:00:00-07:00,The Secret Garden
Agatha Christie,,Mystery,9.78001E+12,1975-07-15T00:57:15-07:00,Destination Unknown
Agatha Christie,,Mystery,9.78055E+12,1983-12-31T23:52:53-08:00,Elephants Can Remember
Edgar Rice Burroughs,,classics,9.7816E+12,1927-07-15T00:00:00-08:00,Tarzan of the Apes
Agatha Christie,,Mystery,9.78067E+12,1983-10-02T00:57:10-07:00,Endless Night
Jim Butcher,,Fantasy,9.78184E+12,2009-06-03T21:00:00-07:00,Academ's Fury
Jim Butcher,,Fantasy:Detective,9.78045E+12,2010-07-05T00:00:00-07:00,Blood Rites
Agatha Christie,,Mystery,9.78043E+12,1941-06-08T10:30:00-08:00,Evil Under the Sun
Jim Butcher,,Fantasy,9.78044E+12,2010-04-27T21:00:00-07:00,Captain's Fury
Orson Scott Card,,Science-Fiction,9.78077E+12,2009-05-20T21:00:50-07:00,Shadow Puppets
Agatha Christie,,Mystery,9.78043E+12,1998-10-01T00:52:22-07:00,Five Little Pigs
Jim Butcher,,Fantasy:Detective,9.78045E+12,2010-07-14T00:00:00-07:00,Changes
Agatha Christie,,Mystery,9.78067E+12,1984-10-02T00:55:16-07:00,Hallowe'en Party
Agatha Christie,,Mystery,9.78001E+12,1989-05-01T00:51:54-07:00,Hercule Poirot's Casebook
Agatha Christie,,Mystery,9.78001E+12,2001-07-15T00:55:04-07:00,Hercule Poirot's Christmas
Orson Scott Card,,Science-Fiction,,2009-05-20T03:00:00-07:00,Xenocide
Agatha Christie,,Mystery,9.7804E+12,1974-10-01T00:00:00-07:00,Hercule Poirot's Early Cases
Agatha Christie,,Mystery,9.78067E+12,1989-10-01T00:54:15-07:00,Hickory Dickory Death
Agatha Christie,,Mystery,9.78001E+12,2001-07-15T00:52:03-07:00,Lord Edgware Dies
Agatha Christie,,Mystery,9.78001E+12,2002-07-14T03:00:00-07:00,Miss Marple's Final Cases
Agatha Christie,,Mystery,9.78055E+12,1988-01-14T23:52:42-08:00,Mrs. McGinty's Dead
Agatha Christie,,Mystery,9.78045E+12,2000-07-15T00:55:44-07:00,Murder at the Vicarage
Agatha Christie,,Mystery,9.78158E+12,2007-02-01T00:00:00-08:00,Murder in Mesopotamia
Agatha Christie,,Mystery,9.78001E+12,2002-07-15T00:54:44-07:00,Murder in the Mews
Agatha Christie,,Mystery,9.78031E+12,2001-07-15T00:56:50-07:00,Murder Is Easy
Agatha Christie,,Mystery,9.78055E+12,1984-12-31T23:52:57-08:00,Murder on the Links
Agatha Christie,,Mystery,9.78158E+12,2006-07-21T00:00:00-07:00,Murder on the Orient Express: A Hercule Poirot Mystery
Agatha Christie,,Mystery,9.78043E+12,1998-10-01T00:58:12-07:00,N or M?
Agatha Christie,,Mystery,9.78045E+12,2000-07-15T00:55:49-07:00,Nemesis
Agatha Christie,,Mystery,9.78001E+12,2002-07-15T00:53:34-07:00,"One, Two, Buckle My Shoe"
Agatha Christie,,Mystery,9.78E+12,2002-02-03T23:56:31-08:00,Ordeal by Innocence
Agatha Christie,,Mystery,9.78031E+12,2002-06-20T00:57:27-07:00,Parker Pyne Investigates
Agatha Christie,,Mystery,9.78001E+12,2000-12-31T23:58:26-08:00,Partners in Crime
Agatha Christie,,Mystery,9.78067E+12,1972-07-15T00:56:19-07:00,Passenger to Frankfurt
Agatha Christie,,Mystery,9.78158E+12,2007-08-24T00:53:17-07:00,Peril at End House
Agatha Christie,,Mystery,9.78055E+12,1983-07-01T00:54:38-07:00,Poirot Investigates
Agatha Christie,,Mystery,9.78043E+12,1984-06-01T00:54:34-07:00,Poirot Loses a Client
Agatha Christie,,Mystery,9.78E+12,1991-07-15T00:51:28-07:00,Problem at Pollensa Bay and Other Stories
Agatha Christie,,Mystery,9.78044E+12,1970-10-31T23:55:01-08:00,Sad Cypress
Agatha Christie,,Mystery,9.78045E+12,2000-08-08T00:00:00-07:00,Sleeping Murder
Agatha Christie,,Mystery,9.78006E+12,1992-06-24T00:57:21-07:00,Sparkling Cyanide
Agatha Christie,,Mystery,9.78031E+12,2001-08-02T00:56:55-07:00,Spider's Web
Agatha Christie,,Mystery,9.78001E+12,2002-07-15T00:55:10-07:00,Taken at the Flood
Agatha Christie,,Mystery,9.78158E+12,2006-07-18T00:00:00-07:00,The A.b.c. Murders: A Hercule Poirot Mystery
Agatha Christie,,Mystery,9.78044E+12,1982-01-14T23:54:05-08:00,The Big Four
George Carlin,,Non-fiction:Humor,9.78079E+12,2005-03-01T22:54:46-08:00,When Will Jesus Bring the Pork Chops?
Willa Cather,,classics,9.78055E+12,2008-08-15T00:00:00-07:00,My Antonia
Michael Chabon,,Non-fiction:Humor,9.78068E+12,2005-01-15T00:00:00-08:00,The Amazing Adventures of Kavalier and Clay: A Novel
Lee Child,,Fiction:Thriller,9.78039E+12,2010-05-17T00:00:00-07:00,61 Hours
Agatha Christie,,Mystery,9.78045E+12,2000-07-15T00:00:00-07:00,4:50 From Paddington
Agatha Christie,,Mystery,9.78045E+12,2000-07-15T00:53:38-07:00,A Caribbean Mystery
Agatha Christie,,Mystery,9.78055E+12,1985-12-31T23:53:45-08:00,A Murder Is Announced
Agatha Christie,,Mystery,9.78055E+12,1985-12-31T23:53:49-08:00,A Pocketful of Rye
Agatha Christie,,Mystery,,2010-06-09T00:00:00-07:00,Adventure of the Christmas Pudding and Other Stories
Agatha Christie,,Mystery,9.78001E+12,1993-07-15T00:53:30-07:00,After the Funeral
Agatha Christie,,Mystery,9.78067E+12,1986-07-15T00:56:24-07:00,And Then There Were None
Agatha Christie,,Mystery,9.78158E+12,2007-07-15T00:00:00-07:00,Appointment With Death: A Hercule Poirot Mystery
Mark Twain,,classics,9.78074E+12,2004-04-27T00:00:00-07:00,Adventures of Huckleberry Finn
Mark Twain,,classics,9.7814E+12,2010-07-15T00:00:00-07:00,The Adventures of Tom Sawyer
Sun Tzu,,Self-Help,9.7806E+12,2002-04-15T00:00:00-07:00,The Art of War
John Updike,,Fiction,9.78039E+12,1990-07-14T20:14:53-07:00,Rabbit at Rest
John Updike,,Fiction,9.78045E+12,1981-07-14T20:14:57-07:00,Rabbit Is Rich
John Updike,,Fiction,9.78014E+12,2006-07-14T20:15:02-07:00,Rabbit Redux
John Updike,,Fiction,9.78014E+12,2006-07-14T20:15:06-07:00,"Rabbit, Run"
John Updike,,Fiction,9.78035E+12,2007-05-28T00:00:00-07:00,Terrorist
John Updike,,Fiction,9.78014E+12,2006-07-14T20:15:15-07:00,The Coup
John Updike,,Fiction,9.78141E+12,2009-08-18T20:15:18-07:00,The Witches of Eastwick
Leon Uris,,Fiction,9.78006E+12,2000-08-24T10:14:30-07:00,A God in Ruins
Leonardo da Vinci & Irma Anne Richter & Thereza Wells,,classics,9.7802E+12,2008-07-15T00:00:00-07:00,Notebooks
Kurt Vonnegut,,classics,9.78039E+12,1969-01-15T00:00:00-08:00,"Slaughterhouse-Five: Or, the Children's Crusade, a Duty-Dance With Death"
Jeannette Walls,,Autobiography,9.78074E+12,2005-03-01T00:00:00-08:00,The Glass Castle: A Memoir
Garth Stein,,"Fiction, Dogs, Contemporary",9.78006E+12,2008-05-15T00:00:00-07:00,The Art of Racing in the Rain
John Steinbeck,,classics,9.78067E+12,2003-03-14T23:00:00-08:00,East of Eden
John Steinbeck,,classics,9.78014E+12,1993-08-01T00:00:00-07:00,Of Mice and Men
John Steinbeck,,classics,,1958-10-17T00:00:00-08:00,Once There Was a War
John Steinbeck,,classics,9.78014E+12,1995-11-06T00:00:00-08:00,The Moon Is Down
John Steinbeck,,classics,9.78014E+12,2009-07-08T00:00:00-07:00,Tortilla Flat
John Steinbeck & Robert Demott,,classics,9.78014E+12,1995-02-15T00:00:00-08:00,To a God Unknown
John Steinbeck & Linda Wagner-Martin & Jos̩ Clemente Orozco,,classics,9.78014E+12,1994-02-15T00:00:00-08:00,The Pearl
John Steinbeck & Charles Wollenberg,,classics,9.78189E+12,2002-07-15T00:00:00-07:00,The Harvest Gypsies: On the Road to the Grapes of Wrath
Neal Stephenson,,Science-Fiction,9.78006E+12,2009-08-24T19:46:50-07:00,Anathem
Neal Stephenson,,Fiction:Historical,9.78038E+12,2000-04-18T03:00:00-07:00,Cryptonomicon
Neal Stephenson,,Fiction:Historical,9.78006E+12,2004-09-08T19:49:32-07:00,Quicksilver
Neal Stephenson,,Science-Fiction,9.78055E+12,2003-07-14T19:42:39-07:00,Snow Crash
Neal Stephenson,,Fiction:Historical,9.78006E+12,2004-04-12T19:52:29-07:00,The Confusion
Neal Stephenson,,Science-Fiction,9.78055E+12,2000-05-02T00:00:00-07:00,The Diamond Age
Neal Stephenson,,Fiction:Historical,9.78006E+12,2004-09-20T19:58:42-07:00,The System of the World
Neal Stephenson,,Science-Fiction,9.7808E+12,2007-08-10T11:14:26-07:00,Zodiac: The Eco-Thriller
Robert Louis Stevenson,,classics,,1922-07-15T00:00:00-08:00,Treasure Island
Kathryn Stockett,AZW3,"Contemporary, Fiction",9.7804E+12,2009-02-10T00:00:00-08:00,The Help
Rick Warren,,Religon,9.78031E+12,2010-03-05T00:00:00-08:00,The Purpose Driven Life: What on Earth Am I Here For?
Sam Wasson,,"Autobiography, Contemporary",9.78006E+12,2010-06-22T00:00:00-07:00,"Fifth Avenue, 5 A.M.: Audrey Hepburn, Breakfast at Tiffany's, and the Dawn of the Modern Woman"
Jerry Weintraub,,"Autobiography, Contemporary",9.78045E+12,2010-04-06T00:00:00-07:00,"When I Stop Talking, You'll Know I'm Dead: Useful Stories From a Persuasive Man"
Alan Weisman,,Science,9.78031E+12,2008-08-05T00:00:00-07:00,The World Without Us
H. G. Wells,,"Science-Fiction, classics",9.78145E+12,2010-02-26T00:00:00-08:00,The War of the Worlds
Edith Wharton,,classics,,2010-07-10T00:00:00-07:00,Ethan Frome & Selected Stories
Edith Wharton,,classics,9.78159E+12,2004-01-16T00:00:00-08:00,The Age of Innocence
Edith Wharton,,classics,9.78049E+12,2002-08-06T00:00:00-07:00,The House of Mirth
Walt Whitman,,classics,9.78144E+12,2009-02-15T00:00:00-08:00,Leaves of Grass
Oscar Wilde,,classics,9.78141E+12,2009-01-26T00:00:00-08:00,The Picture of Dorian Gray
Malcolm X & Alex Haley,,Autobiography,9.78035E+12,1999-08-15T00:00:00-07:00,The Autobiography of Malcolm X
Carlos Ruiz Zaf�_n & Luc�_a Graves,,Fiction,9.78159E+12,2004-04-12T00:00:00-07:00,The Shadow of the Wind
Howard Zinn,,History,9.78006E+12,2005-07-15T00:00:00-07:00,A People's History of the United States: 1492-Present
Bram Stoker,,classics,9.78159E+12,2005-09-01T00:00:00-07:00,Dracula
Harriet Beecher Stowe,,classics,,1852-07-15T00:00:00-08:00,Uncle Tom's Cabin
Daisetz Teitaro Suzuki,,Religon,9.78161E+12,2007-12-20T00:00:00-08:00,Manual of Zen Buddhism
Amy Tan,,Fiction:Historical,9.78075E+12,1998-03-14T23:00:00-08:00,The Joy Luck Club
Gregory Zuckerman,,Autobiography,9.78039E+12,2009-11-02T00:00:00-08:00,The Greatest Trade Ever: The Behind-The-Scenes Story of How John Paulson Defied Wall Street and Made Financial History
Ellis Peters,,Mystery:Historical,9.78045E+12,1991-08-31T21:00:00-07:00,The Potters Field: The Seventeenth Chronicle of Brother Cadfael of the Benedictine Abbey of Saint Peter and Paul at Shrewsbury
Hunter S. Thompson,,Fiction,9.78074E+12,2000-11-15T03:10:16-08:00,Screwjack: A Short Story
Hunter S. Thompson,,Fiction,9.78382E+12,2005-05-15T04:10:24-07:00,The Curse of Lono
Hunter S. Thompson,,Fiction,9.78068E+12,1996-07-15T00:00:00-07:00,"Fear and Loathing in Las Vegas, and Other American Stories"
Hunter S. Thompson,,Fiction,9.78068E+12,1999-07-15T04:10:07-07:00,Hell's Angels: A Strange and Terrible Saga
Hunter S. Thompson,,Fiction,9.78045E+12,1982-12-15T03:10:32-08:00,The Great Shark Hunt: Strange Tales From a Strange Time
Hunter S. Thompson,,Fiction,9.78068E+12,1999-11-01T03:10:43-08:00,The Rum Diary: A Novel
Henry David Thoreau,,classics,9.78081E+12,1999-07-15T00:00:00-07:00,Walden and on the Duty of Civil Disobedience
J. R. R. Tolkien & Christopher Tolkien & Ted Nasmith,,Fantasy,,2004-11-15T00:00:00-08:00,The Silmarillion
J. R. R. Tolkien & Christopher Tolkien,,Fantasy,9.78055E+12,2008-10-15T00:00:00-07:00,The Children of H̼rin
J. R. R. Tolkien,,Fantasy,9.78062E+12,2005-07-15T00:00:00-07:00,The Fellowship of the Ring
J. R. R. Tolkien,,Fantasy,9.78062E+12,2002-08-15T00:00:00-07:00,The Hobbit: Or There and Back Again
J. R. R. Tolkien,,Fantasy,9.78062E+12,2005-10-15T00:00:00-07:00,The Lord of the Rings
J. R. R. Tolkien,,Fantasy,9.78062E+12,2005-06-15T00:00:00-07:00,The Return of the King
J. R. R. Tolkien,,Fantasy,9.78062E+12,2005-07-15T00:00:00-07:00,The Two Towers
Eckhart Tolle,,Self-Help,9.78053E+12,2005-07-15T10:21:10-07:00,A New Earth: Awakening to Your Life's Purpose
Eckhart Tolle,,Self-Help,9.78158E+12,2010-06-02T00:00:00-07:00,The Power of Now: A Guide to Spiritual Enlightenment
J. K. Rowling,AZW3,Children's Books,,2009-05-13T03:00:00-07:00,Harry Potter and the Prisoner of Azkaban
J. K. Rowling,AZW3,Children's Books,,2009-05-11T03:00:00-07:00,Harry Potter and the Sorcerer�۪s Stone
Antoine de Saint-Exup̩ry & Irene Testot-Ferry,,Children's Books,9.78185E+12,1995-01-15T00:00:00-08:00,The Little Prince
Jerome David Salinger,,classics,9.78032E+12,2001-03-14T02:00:00-08:00,The Catcher in the Rye
Walter Scott,,classics,9.78141E+12,2008-05-18T00:00:00-07:00,Ivanhoe - a Romance
Alice Sebold,,"Contemporary, Fiction",9.78032E+12,2002-07-15T00:00:00-07:00,The Lovely Bones
David Sedaris,,Fiction:Humor,9.78035E+12,2006-07-06T00:00:00-07:00,Barrel Fever
David Sedaris,,Non-fiction:Humor,9.78032E+12,2004-06-01T09:54:48-07:00,Dress Your Family in Corduroy and Denim
David Sedaris,,Non-fiction:Humor,9.78032E+12,2001-06-05T00:00:00-07:00,Me Talk Pretty One Day
David Sedaris,,Fiction:Humor,9.78035E+12,2006-07-06T09:48:06-07:00,Naked
David Sedaris,,Fiction:Humor,9.78035E+12,2006-07-06T00:00:00-07:00,Santaland Diaries
Diane Setterfield,,"Contemporary, Fiction",9.78074E+12,2006-01-15T00:00:00-08:00,The Thirteenth Tale: A Novel
George Bernard Shaw,,classics,9.78159E+12,2004-02-11T00:00:00-08:00,Pygmalion and Three Other Plays
Leo Nikoleyevich Tolstoy,,classics,9.7814E+12,2007-01-10T02:00:00-08:00,War and Peace
John Kennedy Toole,,Fiction,9.7808E+12,1987-03-14T23:00:00-08:00,A Confederacy of Dunces
Nora Roberts,,Romance,9.78052E+12,1997-01-01T02:15:51-08:00,Holding the Dream
Nora Roberts,,Romance,9.78052E+12,1999-07-15T03:11:32-07:00,Inner Harbor
Sara Shepard,,Fiction:Young Adult,9.78006E+12,2010-07-15T09:51:40-07:00,Pretty Little Liars
Sara Shepard,,Fiction:Young Adult,9.78006E+12,2007-03-15T09:52:22-07:00,Flawless
Sara Shepard,,Fiction:Young Adult,9.78006E+12,2008-05-20T09:52:03-07:00,Perfect
Sara Shepard,,Fiction:Young Adult,9.78006E+12,2009-05-20T09:47:03-07:00,Wicked
Sara Shepard,,Fiction:Young Adult,9.78006E+12,2010-01-05T08:10:58-08:00,Killer
Sara Shepard,,Fiction:Young Adult,9.78006E+12,2010-04-08T09:55:19-07:00,Heartless
Sara Shepard,,Fiction:Young Adult,9.78006E+12,2008-05-19T17:46:49-07:00,Unbelievable
Betty Smith,,Fiction,9.78006E+12,1947-01-14T02:00:00-08:00,A Tree Grows in Brooklyn
Tom Rob Smith,,Fiction:Suspense,9.78045E+12,2008-04-29T00:00:00-07:00,Child 44
Lemony Snicket,,Children's Books,9.78141E+12,2010-07-15T10:44:19-07:00,A Series of Unfortunate Events # 11: The Grim Grotto
Lemony Snicket,,Children's Books,9.78141E+12,2010-07-15T10:43:56-07:00,A Series of Unfortunate Events #10: The Slippery Slope
Lemony Snicket,,Children's Books,9.78006E+12,2005-10-18T00:00:00-07:00,A Series of Unfortunate Events #12: The Penultimate Peril
